 ,Voxels,Volume(mm^3),%Volume,Mean,StdDev,Min,Max,Mode,Median
339,21952,175616,100,830.371,360.199,0,1968,937.875,955
340,21952,175616,100,719.880,437.074,0,1983,23.238,918
341,21952,175616,100,276.390,205.895,6,858,19.312,273
342,21952,175616,100,634.593,442.509,0,1697,19.887,918
343,21952,175616,100,33242.422,458.739,32730,34150,32791.016,32956
344,21952,175616,100,32280.967,490.894,30675,33454,31760.547,32527
345,21952,175616,100,538.874,473.389,0,1585,18.574,685
346,21952,175616,100,33560.875,375.191,32731,34374,33822.055,33716
347,21952,175616,100,643.793,453.203,0,1543,24.109,916
348,21952,175616,100,3733.864,472.644,939,4610,3046.957,3965
349,21952,175616,100,467.262,457.876,0,1379,21.547,221
350,21952,175616,100,552.100,429.806,2,2272,126.141,354
351,21952,175616,100,504.513,463.277,0,1526,23.844,433
352,21952,175616,100,33387.923,502.883,30685,34333,32779.750,33691
353,21952,175616,100,33317.629,506.229,30685,34495,32783.477,33662
354,21952,175616,100,33389.993,486.286,30685,34668,32785.410,33668
355,21952,175616,100,223.889,138.384,1.781,836.385,115.887,NaN
356,21952,175616,100,448.892,475.016,0,1630,19.102,30
357,21952,175616,100,32251.785,511.442,30680,33437,31735.414,32631
358,21952,175616,100,670.041,425.683,0,2172,1077.516,872
359,21952,175616,100,33242.958,458.701,32726,34159,32787.574,32968
360,21952,175616,100,829.912,358.734,0,1945,934.512,954
361,21952,175616,100,714.423,441.943,0,1845,36.035,922
362,21952,175616,100,484.123,455.477,0,1461,22.828,356
363,21952,175616,100,33630.396,389.836,31663,34776,33851.828,33767
364,21952,175616,100,626.079,433.091,0,2103,1076.145,682
365,21952,175616,100,33399.363,499.712,30685,34627,32794.586,33673
366,21952,175616,100,466.800,458.439,0,1379,21.547,212
367,21952,175616,100,33564.614,375.989,32729,34409,33824.938,33718
368,21952,175616,100,937.194,182.823,8,1116,925.562,972
369,21952,175616,100,230.502,135.706,4.772,959.958,161.482,NaN
370,21952,175616,100,628.830,465.782,0,1893,29.578,912
371,21952,175616,100,485.073,456.856,0,1545,24.141,357
372,21952,175616,100,634.981,443.604,0,1711,20.051,918
373,21952,175616,100,712.097,361.936,0,1892,1056.859,902
374,21952,175616,100,717.491,451.412,0,3026,945.625,931
375,21952,175616,100,326.895,366.492,27.415,1682.529,130.860,NaN
376,21952,175616,100,747.236,409.499,0,1614,31.523,940
377,21952,175616,100,33560.789,375.894,32730,34368,33824.133,33716
378,21952,175616,100,801.979,370.267,0,1277,24.941,955
379,21952,175616,100,687.444,475.985,1,1789,42.906,917
380,21952,175616,100,33636.374,396.355,30679,34529,33807.125,33764
381,21952,175616,100,33534.082,711.968,32598,34976,32765.203,33449
382,21952,175616,100,32275.309,491.657,30674,33614,31765.016,32349
383,21952,175616,100,646.100,460.943,0,1571,24.547,919
384,21952,175616,100,809.064,366.730,0,1315,1011.934,962
385,21952,175616,100,470.537,475.629,0,1543,18.082,114
386,21952,175616,100,635.361,450.917,0,1342,20.969,914
387,21952,175616,100,540.671,473.600,0,1554,24.281,630
388,21952,175616,100,436.469,312.953,11.889,1562.772,24.006,NaN
389,21952,175616,100,1004.827,238.402,0,2021,1081.551,1042
390,21952,175616,100,714.607,356.762,4,1709,1029.664,898
391,21952,175616,100,556.278,473.161,0,1535,23.984,627
392,21952,175616,100,716.508,451.558,0,3026,23.641,935
393,21952,175616,100,33540.993,423.507,32687,36284,33839.164,33716
394,21952,175616,100,33392.781,461.416,32717,34832,32840.926,33299
395,21952,175616,100,33183.178,455.730,32705,34516,32761.594,32924
396,21952,175616,100,33351.582,462.735,32719,34546,32761.820,33334
397,21952,175616,100,32447.332,1324.225,30664,34543,30754.914,32930
398,21952,175616,100,32390.704,1262.730,30547,34216,30761.980,32891
399,21952,175616,100,33416.081,450.370,32690,37081,32930.133,33451
400,21952,175616,100,33415.659,466.868,32690,34443,32765.324,33690
401,21952,175616,100,855.015,319.270,0,1372,1087.953,1013
402,21952,175616,100,33262.437,458.637,32708,34492,32763.750,33073
403,21952,175616,100,33468.072,440.358,32705,34447,32766.242,33704
404,21952,175616,100,33402.759,422.400,32722,34569,32786.934,33638
405,21952,175616,100,33486.021,444.489,32722,34544,32764.703,33701
406,21952,175616,100,870.370,344.579,0,2001,922.336,970
407,21952,175616,100,656.184,446.002,0,1605,68.965,920
408,21952,175616,100,746.602,396.582,1,1848,1104.871,931
409,21952,175616,100,32648.420,280.303,31380,33626,32766.203,32768
410,21952,175616,100,32410.244,478.640,30674,33652,31767.484,32661
411,21952,175616,100,32596.736,355.535,31752,33974,32880.359,32792
412,21952,175616,100,752.050,407.006,0,1861,0.000,945
413,21952,175616,100,33545.189,442.584,30657,34761,33686.906,33711
414,21952,175616,100,32650.698,375.394,30661,33413,32843.250,32769
415,21952,175616,100,924.348,312.192,0,1971,916.207,994
416,21952,175616,100,309.785,132.867,5.594,651.916,250.490,NaN
